UID,UNAME,TYPE,PID,PNAME,nVisees   ,tauxDeReponse   ,enEmploi   ,rechercheEmploi   ,auxEtudes   ,pInactives   ,tauxDeChomage   ,emploiTempsPlein   ,dureeDeRecherche    ,salaireHebdoBrut   ,emploiEnRapport   ,enRapport   
976000,UdM,1,5910,Cinématographie, 10  , 100.0   , 40.0   , 10.0   , 50.0   , 0.0   , 20.0   , 75.0   ,n.d.    ,1 314   , 66.7   , 80.0   
976000,UdM,1,8000,Études plurisectorielles, 56  , 55.4   , 74.2   , 6.5   , 12.9   , 6.5   , 8.0   , 91.3   , 13    , 986   , 85.7   , 50.0   
976001,HEC,0,5800,Administration des affaires, 827  , 65.1   , 79.4   , 4.1   , 14.7   , 1.9   , 4.9   , 97.4   , 8    , 863   , 87.0   , 83.5   
976001,HEC,0,5802,Comptabilité et sciences comptables, 30  , 60.0   , 72.2   , 16.7   , 11.1   , 0.0   , 18.8   , 100.0   , 6    , 963   , 76.9   , 100.0   
976001,HEC,0,5815,Gestion du personnel, 9  , 66.7   , 83.3   , 0.0   , 16.7   , 0.0   , 0.0   , 100.0   , 9    ,1 072   , 100.0   , 0.0   
976001,HEC,0,5888,Études pluridisciplinaires en administration, 69  , 60.9   , 92.9   , 2.4   , 2.4   , 2.4   , 2.5   , 100.0   , 20    ,1 065   , 82.1   , 0.0   
976001,HEC,1,5800,Administration des affaires, 240  , 61.3   , 87.8   , 4.8   , 4.8   , 2.7   , 5.1   , 97.7   , 13    ,1 545   , 84.1   , 71.4   
976001,HEC,1,5806,Gestion et administration des entreprises, 98  , 65.3   , 85.9   , 6.3   , 4.7   , 3.1   , 6.8   , 100.0   , 10    ,1 239   , 81.8   , 66.7   
976002,EPM,0,5340,Sciences de l'informatique, 28  , 50.0   , 71.4   , 0.0   , 28.6   , 0.0   , 0.0   , 100.0   , 2    , 942   , 90.0   , 100.0   
976002,EPM,0,5356,Génie chimique, 28  , 67.9   , 57.9   , 10.5   , 31.6   , 0.0   , 15.4   , 90.9   , 9    , 851   , 90.0   , 100.0   
976002,EPM,0,5358,"Génie civil, de la construction et du transport", 74  , 67.6   , 92.0   , 0.0   , 8.0   , 0.0   , 0.0   , 100.0   , 2    ,1 045   , 93.5   , 75.0   
976002,EPM,0,5359,"Génie électrique, électronique et des communications", 84  , 65.5   , 83.6   , 0.0   , 14.5   , 1.8   , 0.0   , 97.8   , 17    , 949   , 73.3   , 100.0   
976002,EPM,0,5360,Génie mécanique, 114  , 65.8   , 80.0   , 5.3   , 14.7   , 0.0   , 6.3   , 98.3   , 14    ,1 028   , 89.8   , 100.0   
976002,EPM,0,5361,Génie géologique, 13  , 76.9   , 70.0   , 10.0   , 10.0   , 10.0   , 12.5   , 100.0   , 2    , 954   , 85.7   , 100.0   
976002,EPM,0,5363,Génie industriel et administratif, 40  , 52.5   , 57.1   , 9.5   , 28.6   , 4.8   , 14.3   , 100.0   , 7    , 962   , 91.7   , 100.0   
976002,EPM,0,5369,Génie physique, 17  , 76.5   , 23.1   , 0.0   , 76.9   , 0.0   , 0.0   , 100.0   , 6    , 897   , 100.0   , 100.0   
976002,EPM,0,5373,Génie informatique et de la construction des ordinateurs, 33  , 69.7   , 82.6   , 4.3   , 13.0   , 0.0   , 5.0   , 100.0   , 7    , 969   , 100.0   , 100.0   
976002,EPM,1,5233,Mathématiques appliquées, 5  , 100.0   , 80.0   , 0.0   , 20.0   , 0.0   , 0.0   , 50.0   ,x    ,x   , 100.0   , 100.0   
976002,EPM,1,5352,"Génie aérospatial, aéronautique et astronautique", 14  , 71.4   , 80.0   , 0.0   , 20.0   , 0.0   , 0.0   , 100.0   , 13    ,1 314   , 100.0   , 50.0   
976002,EPM,1,5356,Génie chimique, 13  , 69.2   , 55.6   , 11.1   , 33.3   , 0.0   , 16.7   , 100.0   , 2    ,1 144   , 60.0   , 100.0   
